grupo	instance	num_cities	g	gap_gurobi_percent	gap_UB_percent	mean_time	gurobi_time	faster_than_gurobi
Médio porte	code198	198	2	0.0000	-2.2067	274.8240	13.0	False
Médio porte	code198	198	5	0.0000	-2.2067	256.0500	13.4	False
Médio porte	code198	198	8	0.0000	-2.2067	158.3380	13.7	False
Médio porte	dc112	112	2	0.0000	0.0000	4.2670	2.4	False
Médio porte	dc112	112	5	0.0000	0.0000	2.1100	18.2	True
Médio porte	dc112	112	8	0.0000	0.0000	8.7500	95.0	True
Médio porte	dc126	126	2	0.0000	-1.2259	0.9220	1.2	True
Médio porte	dc126	126	5	0.0476	-1.1841	11.7070	35.7	True
Médio porte	dc126	126	8	0.1581	-1.0968	85.8960	235.2	True
Médio porte	dc134	134	2	0.0000	0.0000	17.3490	12.8	False
Médio porte	dc134	134	5	0.0000	0.0000	13.1990	11.4	False
Médio porte	dc134	134	8	0.0000	-0.3664	6.0330	23.0	True
Médio porte	dc176	176	2	0.0182	-1.1689	48.2760	137.8	True
Médio porte	dc176	176	5	0.0000	-1.1868	38.6960	111.6	True
Médio porte	dc176	176	8	0.0000	-1.5748	37.5810	71.6	True
Médio porte	dc188	188	2	0.0000	-0.8045	84.4440	51.0	False
Médio porte	dc188	188	5	0.0000	-0.8045	70.9680	36.3	False
Médio porte	dc188	188	8	0.0000	-0.9671	28.6100	90.8	True
Médio porte	ftv100	101	2	1.3781	1.3781	20.1750	8.3	False
Médio porte	ftv100	101	5	1.9173	1.9173	21.4860	7.9	False
Médio porte	ftv100	101	8	4.4338	4.4338	18.0980	6.7	False
Médio porte	ftv110	111	2	3.7526	3.6978	22.1140	16.0	False
Médio porte	ftv110	111	5	1.5856	1.5320	26.4520	13.2	False
Médio porte	ftv110	111	8	3.4884	3.4337	25.5230	13.3	False
Médio porte	ftv120	121	2	3.8462	3.8462	33.1320	9.9	False
Médio porte	ftv120	121	5	3.1795	3.1795	36.7910	10.1	False
Médio porte	ftv120	121	8	2.9231	2.9231	30.9410	8.9	False
Médio porte	ftv130	131	2	5.4167	5.3679	41.0890	16.9	False
Médio porte	ftv130	131	5	5.6019	5.5530	49.7180	13.3	False
Médio porte	ftv130	131	8	5.3241	5.0808	36.0200	15.9	False
Médio porte	ftv140	141	2	5.1441	5.0510	59.8140	26.5	False
Médio porte	ftv140	141	5	4.1242	3.7102	68.7950	28.0	False
Médio porte	ftv140	141	8	6.0310	5.6095	57.5050	19.4	False
Médio porte	ftv150	151	2	3.0279	2.9874	77.0800	29.7	False
Médio porte	ftv150	151	5	5.2300	4.9000	89.9030	24.0	False
Médio porte	ftv150	151	8	8.0613	8.0189	86.6840	27.5	False
Médio porte	ftv160	161	2	5.6962	5.6962	95.8560	35.4	False
Médio porte	ftv160	161	5	3.4019	3.3202	119.0580	30.4	False
Médio porte	ftv160	161	8	7.4367	7.3518	97.8500	38.9	False
Médio porte	ftv170	171	2	8.9098	8.9098	124.6600	23.0	False
Médio porte	ftv170	171	5	9.0602	9.0602	152.9960	25.0	False
Médio porte	ftv170	171	8	12.5940	12.5940	136.1060	27.2	False
Médio porte	td100_1	101	2	2.7226	1.4692	0.7670	14.2	True
Médio porte	td100_1	101	5	1.2362	0.1622	1.1740	3.9	True
Médio porte	td100_1	101	8	1.8291	0.5440	4.7050	2.1	False
